Year,StateAbbr,StateDesc,CityName,Category,CategoryID,Short_Question_Text,tot_city_pop,perc_city_pop,tot_city_percent
2016,FL,Florida,Hialeah,Unhealthy Behaviors,UNHBEH,Sleep <7 hours,674007.0,230284.0,0.34
2016,FL,Florida,Davie,Unhealthy Behaviors,UNHBEH,Sleep <7 hours,275976.0,97199.0,0.35
2016,FL,Florida,Miramar,Unhealthy Behaviors,UNHBEH,Sleep <7 hours,366123.0,144867.0,0.4
2016,FL,Florida,Lakeland,Unhealthy Behaviors,UNHBEH,Sleep <7 hours,292266.0,104180.0,0.36
2016,FL,Florida,Miami,Unhealthy Behaviors,UNHBEH,Sleep <7 hours,1198371.0,419600.0,0.35
2016,FL,Florida,Melbourne,Unhealthy Behaviors,UNHBEH,Sleep <7 hours,228204.0,81581.0,0.36
2016,FL,Florida,Palm Bay,Unhealthy Behaviors,UNHBEH,Sleep <7 hours,309570.0,116301.0,0.38
2016,FL,Florida,Orlando,Unhealthy Behaviors,UNHBEH,Sleep <7 hours,714883.0,268202.0,0.38
2016,FL,Florida,Miami Beach,Unhealthy Behaviors,UNHBEH,Sleep <7 hours,263337.0,82057.0,0.31
2016,FL,Florida,Largo,Unhealthy Behaviors,UNHBEH,Sleep <7 hours,232944.0,89544.0,0.38
2016,FL,Florida,Palm Coast,Unhealthy Behaviors,UNHBEH,Sleep <7 hours,225540.0,79247.0,0.35
2016,FL,Florida,Miami Gardens,Unhealthy Behaviors,UNHBEH,Sleep <7 hours,321501.0,132671.0,0.41
2016,FL,Florida,Lauderhill,Unhealthy Behaviors,UNHBEH,Sleep <7 hours,200661.0,89356.0,0.45
2016,FL,Florida,Tampa,Unhealthy Behaviors,UNHBEH,Sleep <7 hours,1007127.0,358938.0,0.36
2016,FL,Florida,Port St. Lucie,Unhealthy Behaviors,UNHBEH,Sleep <7 hours,493809.0,183973.0,0.37
2016,GA,Georgia,Atlanta,Unhealthy Behaviors,UNHBEH,Sleep <7 hours,1260009.0,484941.0,0.38
2016,FL,Florida,Tallahassee,Unhealthy Behaviors,UNHBEH,Sleep <7 hours,544128.0,185356.0,0.34
2016,FL,Florida,Plantation,Unhealthy Behaviors,UNHBEH,Sleep <7 hours,254865.0,90354.0,0.35
2016,FL,Florida,Sunrise,Unhealthy Behaviors,UNHBEH,Sleep <7 hours,253317.0,97039.0,0.38
2016,FL,Florida,West Palm Beach,Unhealthy Behaviors,UNHBEH,Sleep <7 hours,299757.0,122643.0,0.41
2016,FL,Florida,Pembroke Pines,Unhealthy Behaviors,UNHBEH,Sleep <7 hours,464250.0,166808.0,0.36
2016,FL,Florida,Pompano Beach,Unhealthy Behaviors,UNHBEH,Sleep <7 hours,299535.0,115741.0,0.39
2016,GA,Georgia,Athens,Unhealthy Behaviors,UNHBEH,Sleep <7 hours,346356.0,130975.0,0.38
2016,HI,Hawaii,Honolulu,Unhealthy Behaviors,UNHBEH,Sleep <7 hours,2859621.0,1347253.0,0.47
2016,GA,Georgia,Macon,Unhealthy Behaviors,UNHBEH,Sleep <7 hours,274053.0,120131.0,0.44
2016,GA,Georgia,Savannah,Unhealthy Behaviors,UNHBEH,Sleep <7 hours,408858.0,169933.0,0.42
2016,GA,Georgia,Johns Creek,Unhealthy Behaviors,UNHBEH,Sleep <7 hours,230184.0,75799.0,0.33
2016,GA,Georgia,Sandy Springs,Unhealthy Behaviors,UNHBEH,Sleep <7 hours,281559.0,93474.0,0.33
2016,ID,Idaho,Boise City,Unhealthy Behaviors,UNHBEH,Sleep <7 hours,617013.0,171499.0,0.28
2016,GA,Georgia,Warner Robins,Unhealthy Behaviors,UNHBEH,Sleep <7 hours,199764.0,77870.0,0.39
2016,ID,Idaho,Meridian,Unhealthy Behaviors,UNHBEH,Sleep <7 hours,225276.0,62852.0,0.28
2016,ID,Idaho,Nampa,Unhealthy Behaviors,UNHBEH,Sleep <7 hours,244671.0,80521.0,0.33
2016,GA,Georgia,Roswell,Unhealthy Behaviors,UNHBEH,Sleep <7 hours,265038.0,86286.0,0.33
2016,IL,Illinois,Champaign,Unhealthy Behaviors,UNHBEH,Sleep <7 hours,243165.0,74114.0,0.3
2016,IL,Illinois,Bolingbrook,Unhealthy Behaviors,UNHBEH,Sleep <7 hours,220098.0,75364.0,0.34
2016,IL,Illinois,Arlington Heights,Unhealthy Behaviors,UNHBEH,Sleep <7 hours,225303.0,66432.0,0.29
2016,PA,Pennsylvania,Scranton,Unhealthy Behaviors,UNHBEH,Sleep <7 hours,228267.0,83836.0,0.37
2016,RI,Rhode Island,Providence,Unhealthy Behaviors,UNHBEH,Sleep <7 hours,534126.0,221087.0,0.41
2016,SD,South Dakota,Rapid City,Unhealthy Behaviors,UNHBEH,Sleep <7 hours,203868.0,54249.0,0.27
2016,SC,South Carolin,Rock Hill,Unhealthy Behaviors,UNHBEH,Sleep <7 hours,198462.0,81029.0,0.41
2016,SC,South Carolin,Mount Pleasant,Unhealthy Behaviors,UNHBEH,Sleep <7 hours,203529.0,59844.0,0.29
2016,SD,South Dakota,Sioux Falls,Unhealthy Behaviors,UNHBEH,Sleep <7 hours,461664.0,125300.0,0.27
2016,PA,Pennsylvania,Reading,Unhealthy Behaviors,UNHBEH,Sleep <7 hours,264246.0,119928.0,0.45
2016,TN,Tennessee,Clarksville,Unhealthy Behaviors,UNHBEH,Sleep <7 hours,398787.0,165819.0,0.42
2016,RI,Rhode Island,Cranston,Unhealthy Behaviors,UNHBEH,Sleep <7 hours,241161.0,91544.0,0.38
2016,TN,Tennessee,Chattanooga,Unhealthy Behaviors,UNHBEH,Sleep <7 hours,503022.0,201013.0,0.4
2016,SC,South Carolin,North Charleston,Unhealthy Behaviors,UNHBEH,Sleep <7 hours,292413.0,114094.0,0.39
2016,RI,Rhode Island,Pawtucket,Unhealthy Behaviors,UNHBEH,Sleep <7 hours,213444.0,88285.0,0.41
2016,RI,Rhode Island,Warwick,Unhealthy Behaviors,UNHBEH,Sleep <7 hours,248016.0,89085.0,0.36
2016,TX,Texas,Arlington,Unhealthy Behaviors,UNHBEH,Sleep <7 hours,1096314.0,402969.0,0.37
